# Position_x_cm,Flux_phi
3.730000000000000426e+01,7.157731932108458706e-01
3.739999999999999858e+01,7.188505250175832861e-01
3.750000000000000000e+01,7.219138345119409106e-01
3.760000000000000142e+01,7.249630619336752124e-01
3.770000000000000284e+01,7.279981477971584347e-01
3.780000000000000426e+01,7.310190328925396663e-01
3.789999999999999858e+01,7.340256582868982527e-01
3.800000000000000000e+01,7.370179653253945418e-01
3.810000000000000142e+01,7.399958956324140802e-01
3.820000000000000284e+01,7.429593911127062578e-01
3.830000000000000426e+01,7.459083939525172902e-01
3.840000000000000568e+01,7.488428466207185386e-01
3.850000000000000000e+01,7.517626918699286120e-01
3.860000000000000142e+01,7.546678727376302520e-01
3.870000000000000284e+01,7.575583325472815543e-01
3.880000000000000426e+01,7.604340149094215295e-01
3.890000000000000568e+01,7.632948637227704447e-01
3.900000000000000000e+01,7.661408231753240594e-01
3.910000000000000142e+01,7.689718377454427545e-01
3.920000000000000284e+01,7.717878522029342214e-01
3.930000000000000426e+01,7.745888116101314891e-01
3.940000000000000568e+01,7.773746613229645108e-01
3.950000000000000000e+01,7.801453469920262007e-01
3.960000000000000142e+01,7.829008145636328075e-01
3.970000000000000284e+01,7.856410102808784046e-01
3.980000000000000426e+01,7.883658806846840506e-01
3.990000000000000568e+01,7.910753726148403997e-01
4.000000000000000000e+01,7.937694332110449835e-01
4.010000000000000142e+01,7.964480099139338298e-01
4.020000000000000284e+01,7.991110504661059766e-01
4.030000000000000426e+01,8.017585029131443219e-01
4.040000000000000568e+01,8.043903156046285918e-01
4.050000000000000000e+01,8.070064371951429782e-01
4.060000000000000142e+01,8.096068166452784487e-01
4.070000000000000284e+01,8.121914032226283942e-01
4.080000000000000426e+01,8.147601465027779488e-01
4.090000000000000568e+01,8.173129963702887579e-01
4.100000000000000000e+01,8.198499030196760851e-01
4.110000000000000142e+01,8.223708169563812564e-01
4.120000000000000284e+01,8.248756889977368889e-01
4.130000000000000426e+01,8.273644702739268997e-01
4.140000000000000568e+01,8.298371122289398549e-01
4.150000000000000000e+01,8.322935666215166561e-01
4.160000000000000142e+01,8.347337855260914541e-01
4.170000000000000284e+01,8.371577213337273449e-01
4.180000000000000426e+01,8.395653267530447383e-01
4.190000000000000568e+01,8.419565548111448416e-01
4.200000000000000000e+01,8.443313588545259263e-01
4.210000000000000142e+01,8.466896925499937110e-01
4.220000000000000284e+01,8.490315098855656384e-01
4.230000000000000426e+01,8.513567651713682682e-01
4.240000000000000568e+01,8.536654130405301188e-01
4.250000000000000000e+01,8.559574084500652935e-01
4.260000000000000142e+01,8.582327066817539984e-01
4.270000000000000284e+01,8.604912633430139568e-01
4.280000000000000426e+01,8.627330343677678259e-01
4.290000000000000568e+01,8.649579760173023990e-01
4.300000000000000000e+01,8.671660448811226996e-01
4.310000000000000142e+01,8.693571978777984155e-01
4.320000000000000284e+01,8.715313922558058923e-01
4.330000000000000426e+01,8.736885855943614665e-01
4.340000000000000568e+01,8.758287358042496917e-01
4.350000000000000000e+01,8.779518011286446821e-01
4.360000000000000142e+01,8.800577401439249048e-01
4.370000000000000284e+01,8.821465117604826434e-01
4.380000000000000426e+01,8.842180752235246910e-01
4.390000000000000568e+01,8.862723901138684912e-01
4.400000000000000000e+01,8.883094163487305073e-01
4.410000000000000142e+01,8.903291141825092625e-01
4.420000000000000284e+01,8.923314442075607200e-01
4.430000000000000426e+01,8.943163673549671122e-01
4.440000000000000568e+01,8.962838448953001080e-01
4.450000000000000000e+01,8.982338384393769859e-01
4.460000000000000142e+01,9.001663099390088130e-01
4.470000000000000284e+01,9.020812216877444056e-01
4.480000000000000426e+01,9.039785363216054082e-01
4.490000000000000568e+01,9.058582168198162643e-01
4.500000000000000000e+01,9.077202265055267505e-01
4.510000000000000142e+01,9.095645290465276256e-01
4.520000000000000284e+01,9.113910884559600634e-01
4.530000000000000426e+01,9.131998690930183127e-01
4.540000000000000568e+01,9.149908356636449192e-01
4.550000000000000000e+01,9.167639532212203957e-01
4.560000000000000142e+01,9.185191871672457875e-01
4.570000000000000284e+01,9.202565032520164667e-01
4.580000000000000426e+01,9.219758675752927068e-01
4.590000000000000568e+01,9.236772465869600435e-01
4.600000000000000000e+01,9.253606070876849721e-01
4.610000000000000142e+01,9.270259162295637623e-01
4.620000000000000284e+01,9.286731415167622794e-01
4.630000000000000426e+01,9.303022508061513651e-01
4.640000000000000568e+01,9.319132123079345575e-01
4.650000000000000000e+01,9.335059945862685948e-01
4.660000000000000142e+01,9.350805665598769245e-01
4.670000000000000284e+01,9.366368975026569954e-01
4.680000000000000426e+01,9.381749570442802222e-01
4.690000000000000568e+01,9.396947151707844004e-01
4.700000000000000000e+01,9.411961422251609033e-01
4.710000000000000142e+01,9.426792089079328862e-01
4.720000000000000284e+01,9.441438862777273844e-01
4.730000000000000426e+01,9.455901457518415265e-01
4.740000000000000568e+01,9.470179591067994229e-01
4.750000000000000000e+01,9.484272984789042793e-01
4.760000000000000142e+01,9.498181363647821840e-01
4.770000000000000284e+01,9.511904456219196780e-01
4.780000000000000426e+01,9.525441994691929981e-01
4.790000000000000568e+01,9.538793714873922136e-01
4.800000000000000000e+01,9.551959356197361473e-01
4.810000000000000142e+01,9.564938661723825231e-01
4.820000000000000284e+01,9.577731378149285657e-01
4.830000000000000426e+01,9.590337255809068262e-01
4.840000000000000568e+01,9.602756048682724588e-01
4.850000000000000000e+01,9.614987514398838364e-01
4.860000000000000142e+01,9.627031414239761720e-01
4.870000000000000284e+01,9.638887513146273678e-01
4.880000000000000426e+01,9.650555579722178701e-01
4.890000000000000568e+01,9.662035386238823076e-01
4.900000000000000000e+01,9.673326708639548022e-01
4.910000000000000142e+01,9.684429326544063965e-01
4.920000000000000284e+01,9.695343023252760428e-01
4.930000000000000426e+01,9.706067585750932647e-01
4.940000000000000568e+01,9.716602804712953789e-01
4.950000000000000000e+01,9.726948474506359466e-01
4.960000000000000142e+01,9.737104393195867846e-01
4.970000000000000284e+01,9.747070362547327615e-01
4.980000000000000426e+01,9.756846188031590428e-01
4.990000000000000568e+01,9.766431678828310092e-01
5.000000000000000000e+01,9.775826647829679583e-01
5.010000000000000142e+01,9.785030911644080343e-01
5.020000000000000284e+01,9.794044290599676073e-01
5.030000000000000426e+01,9.802866608747914379e-01
5.040000000000000568e+01,9.811497693866978453e-01
5.050000000000000000e+01,9.819937377465142170e-01
5.060000000000000142e+01,9.828185494784075216e-01
5.070000000000000284e+01,9.836241884802061630e-01
5.080000000000000426e+01,9.844106390237141735e-01
5.090000000000000568e+01,9.851778857550197444e-01
5.100000000000000000e+01,9.859259136947949864e-01
5.110000000000000142e+01,9.866547082385888068e-01
5.120000000000000284e+01,9.873642551571129022e-01
5.130000000000000426e+01,9.880545405965204253e-01
5.140000000000000568e+01,9.887255510786759904e-01
5.150000000000000000e+01,9.893772735014204622e-01
5.160000000000000142e+01,9.900096951388264177e-01
5.170000000000000284e+01,9.906228036414481686e-01
5.180000000000000426e+01,9.912165870365629017e-01
5.190000000000000568e+01,9.917910337284044919e-01
5.200000000000000000e+01,9.923461324983918752e-01
5.210000000000000142e+01,9.928818725053472072e-01
5.220000000000000284e+01,9.933982432857094702e-01
5.230000000000000426e+01,9.938952347537386434e-01
5.240000000000000568e+01,9.943728372017135442e-01
5.250000000000000000e+01,9.948310413001217878e-01
5.260000000000000142e+01,9.952698380978425297e-01
5.270000000000000284e+01,9.956892190223225469e-01
5.280000000000000426e+01,9.960891758797437712e-01
5.290000000000000568e+01,9.964697008551839374e-01
5.300000000000000000e+01,9.968307865127695733e-01
5.310000000000000142e+01,9.971724257958229920e-01
5.320000000000000284e+01,9.974946120269994054e-01
5.330000000000000426e+01,9.977973389084193734e-01
5.340000000000000568e+01,9.980806005217913723e-01
5.350000000000000000e+01,9.983443913285289240e-01
5.360000000000000142e+01,9.985887061698586198e-01
5.370000000000000284e+01,9.988135402669223728e-01
5.380000000000000426e+01,9.990188892208712312e-01
5.390000000000000568e+01,9.992047490129520870e-01
5.400000000000000000e+01,9.993711160045865016e-01
5.410000000000000142e+01,9.995179869374428705e-01
5.420000000000000284e+01,9.996453589335014822e-01
5.430000000000000426e+01,9.997532294951102516e-01
5.440000000000000568e+01,9.998415965050354570e-01
5.450000000000000000e+01,9.999104582265031516e-01
5.460000000000000142e+01,9.999598133032342462e-01
5.470000000000000284e+01,9.999896607594714881e-01
5.480000000000000426e+01,1.000000000000000000e+00
5.490000000000000568e+01,9.999908308101591592e-01
5.500000000000000000e+01,9.999621533558481490e-01
5.510000000000000142e+01,9.999139681835228499e-01
5.520000000000000284e+01,9.998462762201865139e-01
5.530000000000000426e+01,9.997590787733732220e-01
5.540000000000000568e+01,9.996523775311217941e-01
5.550000000000000000e+01,9.995261745619454796e-01
5.560000000000000142e+01,9.993804723147907687e-01
5.570000000000000284e+01,9.992152736189916507e-01
5.580000000000000426e+01,9.990305816842145470e-01
5.590000000000000568e+01,9.988264001003973602e-01
5.600000000000000000e+01,9.986027328376796408e-01
5.610000000000000142e+01,9.983595842463264258e-01
5.620000000000000284e+01,9.980969590566441951e-01
5.630000000000000426e+01,9.978148623788893889e-01
5.640000000000000568e+01,9.975132997031695981e-01
5.650000000000000000e+01,9.971922768993370934e-01
5.660000000000000142e+01,9.968518002168758052e-01
5.670000000000000284e+01,9.964918762847799760e-01
5.680000000000000426e+01,9.961125121114257075e-01
5.690000000000000568e+01,9.957137150844351803e-01
5.700000000000000000e+01,9.952954929705332132e-01
5.710000000000000142e+01,9.948578539153970501e-01
5.720000000000000284e+01,9.944008064434979310e-01
5.730000000000000426e+01,9.939243594579360019e-01
5.740000000000000568e+01,9.934285222402673421e-01
5.750000000000000000e+01,9.929133044503237748e-01
5.760000000000000142e+01,9.923787161260257950e-01
5.770000000000000284e+01,9.918247676831868365e-01
5.780000000000000426e+01,9.912514699153115449e-01
5.790000000000000568e+01,9.906588339933857235e-01
5.800000000000000000e+01,9.900468714656595060e-01
